code	name	city	state
NJRW	Robert Wood Johnson University Hospital	New Brunswick	NJ
NJSB	Saint Barnabas Medical Center	Livingston	NJ
NJUH	University Hospital	Newark	NJ
NMAQ	University Hospital, University of New Mexico Health Sciences Center	Albuquerque	NM
NMPH	Presbyterian Hospital	Albuquerque	NM
NVUM	University Medical Center of Southern Nevada	Las Vegas	NV
NYAM	Albany Medical Center Hospital	Albany	NY
NYCC	Long Island Jewish Medical Center-Cohen Children's Medical Center	Queens	NY
NYCP	NY Presbyterian Hospital/Columbia Univ. Medical Center	New York	NY
NYDS	State University of New York, Downstate Medical Center	Brooklyn	NY
NYEC	Erie County Medical Center	Buffalo	NY
NYFL	Strong Memorial Hospital, University of Rochester Medical Center	Rochester	NY
NYMA	Montefiore Medical Center	Bronx	NY
NYMS	Mount Sinai Medical Center	New York	NY
NYNS	North Shore University Hospital/Northwell Health	Manhasset	NY
NYNY	New York-Presbyterian Hospital/Weill Cornell Medical Center	New York	NY
NYSB	University Hospital of State University of New York at Stony Brook	Stony Brook	NY
NYUC	NYU Langone Health	New York	NY
NYUM	State University of New York Upstate Medical University	Syracuse	NY
NYVA	James J. Peters VA Medical Center	Bronx	NY
NYWC	Westchester Medical Center	Valhalla	NY
OHCC	The Cleveland Clinic Foundation	Cleveland	OH
OHCH	Nationwide Children's Hospital	Columbus	OH
OHCM	Children's Hospital Medical Center	Cincinnati	OH
OHCO	University of Toledo Medical Center	Toledo	OH
OHOU	Ohio State University Medical Center	Columbus	OH
OHTC	The Christ Hospital	Cincinnati	OH
OHUC	University of Cincinnati Medical Center	Cincinnati	OH
OHUH	University Hospitals of Cleveland	Cleveland	OH
OKBC	Integris Baptist Medical Center	Oklahoma City	OK
OKCM	Children's Hospital of Oklahoma	Oklahoma City	OK
OKMD	OU Medical Center	Oklahoma City	OK
OKSJ	St John Medical Center	Tulsa	OK
ORGS	Legacy Good Samaritan Hospital and Medical Center	Portland	OR
ORSV	Providence St. Vincent Medical Center	Portland	OR
ORUO	Oregon Health and Science University	Portland	OR
ORVA	VA Portland Health Care System	Portland	OR
PAAE	Albert Einstein Medical Center	Philadelphia	PA
PAAG	Allegheny General Hospital	Pittsburgh	PA
PACH	UPMC Children's Hospital of Pittsburgh	Pittsburgh	PA
PACP	Children's Hospital of Philadelphia	Philadelphia	PA
PAGM	Geisinger Medical Center	Danville	PA
PAHE	Penn State Milton S Hershey Medical Center	Hershey	PA
PAHH	Pinnacle Health System at Harrisburg Hospital	Harrisburg	PA
PAHM	Hahnemann University Hospital	Philadelphia	PA
PALV	Lehigh Valley Hospital	Allentown	PA
PAPH	UPMC Hamot	Erie	PA
PAPT	University of Pittsburgh Medical Center	Pittsburgh	PA
PASC	St. Christopher's Hospital for Children	Philadelphia	PA
PATJ	Thomas Jefferson University Hospital	Philadelphia	PA
PATU	Temple University Hospital	Philadelphia	PA
PAUP	Hospital of the University of Pennsylvania	Philadelphia	PA
PAVA	VA Pittsburgh Healthcare System	Pittsburgh	PA
PRCC	Cardiovascular Center of Puerto Rico and the Caribbean	San Juan	PR
PRSJ	Auxilio Mutuo Hospital	Hato Rey	PR
RIRH	Rhode Island Hospital	Providence	RI
SCCH	MUSC Children's Hospital	Charleston	SC
SCLA	MUSC Lancaster	Lancaster	SC
SCMU	Medical University of South Carolina	Charleston	SC
SCPG	Prisma Health Greenville Memorial Hospital	Greenville	SC
SDMK	Avera McKennan Hospital	Sioux Falls	SD
SDSV	Sanford Health/USD Medical Center	Sioux Falls	SD
TNBM	Baptist Memorial Hospital	Memphis	TN
TNEM	Erlanger Medical Center	Chattanooga	TN
TNLB	Le Bonheur Children's Medical Center	Memphis	TN
TNMH	Methodist University Hospital	Memphis	TN
TNST	Saint Thomas Hospital	Nashville	TN
TNUK	University of Tennessee Medical Center at Knoxville	Knoxville	TN
TNVU	Vanderbilt University Medical Center	Nashville	TN
TXAS	Baylor Scott and White All Saints Medical Center-Fort Worth	Fort Worth	TX
TXBC	University Hospital, University of Texas Health Science Center	San Antonio	TX
TXCF	Cook Children's Medical Center	Fort Worth	TX
TXCM	Children's Medical Center of Dallas	Dallas	TX
TXCT	Seton Medical Center Austin	Austin	TX
TXDC	Driscoll Children's Hospital	Corpus Christi	TX
TXDL	Dell Children's Medical Center	Austin	TX
TXDM	North Austin Medical Center	Austin	TX
TXDR	Doctor's Hospital at Renaissance	Edinburg	TX
TXDS	Dell Seton Medical Center at The University of Texas at Austin	Austin	TX
TXFW	Texas Health Harris Methodist Fort Worth Hospital	Fort Worth	TX
TXHD	Medical City Dallas Hospital	Dallas	TX
TXHH	Memorial Hermann Hospital, University of Texas at Houston	Houston	TX
TXHI	CHI St. Luke's Health Baylor College of Medicine Medical Center	Houston	TX
TXHS	Methodist Specialty and Transplant Hospital	San Antonio	TX
TXJS	University of Texas Medical Branch at Galveston	Galveston	TX
TXLM	Covenant Medical Center	Lubbock	TX
TXLP	Las Palmas Medical Center	El Paso	TX
TXMC	Methodist Dallas Medical Center	Dallas	TX
TXMH	Houston Methodist Hospital	Houston	TX
TXPL	Medical City Fort Worth	Fort Worth	TX
TXPM	Parkland Health and Hospital System	Dallas	TX
TXSP	UT Southwestern Medical Center/William P. Clements Jr. University Hospital	Dallas	TX
TXSW	Scott and White Memorial Hospital	Temple	TX
TXTC	Texas Children's Hospital	Houston	TX
TXTX	Baylor University Medical Center	Dallas	TX
TXUC	University Children's Health	San Antonio	TX
TXVA	Michael E. DeBakey VA Medical Center	Houston	TX
UTLD	Intermountain Medical Center	Murray	UT
UTMC	University of Utah Medical Center	Salt Lake City	UT
UTPC	Primary Children's Hospital	Salt Lake City	UT
VACH	Children's Hospital of the King's Daughters	Norfolk	VA
VAFH	Inova Fairfax Hospital	Falls Church	VA
VAHD	Henrico Doctors' Hospital	Richmond	VA
VAMC	VCU Health System Authority, VCUMC	Richmond	VA
VAMV	Hunter Holmes McGuire Veterans Administration Medical Center (inactive *)	Richmond	VA
VANG	Sentara Norfolk General Hospital	Norfolk	VA
VAUV	University of Virginia Health Sciences Center	Charlottesville	VA
VTMC	The University of Vermont Medical Center	Burlington	VT
WACH	Seattle Children's Hospital	Seattle	WA
WASH	Providence Sacred Heart Medical Center & Children's Hospital	Spokane	WA
WASM	Swedish Medical Center	Seattle	WA
WAUW	University of Washington Medical Center	Seattle	WA
WAVM	Virginia Mason Medical Center	Seattle	WA
WICH	Children's Hospital of Wisconsin	Milwaukee	WI
WISE	Froedtert Memorial Lutheran Hospital	Milwaukee	WI
WISL	Aurora St. Luke's Medical Center	Milwaukee	WI
WIUW	University of Wisconsin Hospital and Clinics	Madison	WI
WVCA	Charleston Area Medical Center	Charleston	WV
WVWU	West Virginia University Hospitals Inc.	Morgantown	WV
